10	6.722333e-01	9.100000e-01
20	6.901333e-01	1.035000e+00
30	7.328833e-01	1.005000e+00
40	7.257500e-01	1.035000e+00
50	7.388500e-01	9.950000e-01
60	7.438333e-01	9.900000e-01
70	7.480500e-01	1.080000e+00
80	7.432500e-01	1.115000e+00
90	7.646333e-01	1.045000e+00
100	7.610667e-01	1.055000e+00
110	7.645167e-01	1.095000e+00
120	7.792500e-01	1.040000e+00
130	7.926833e-01	1.175000e+00
140	7.944333e-01	1.115000e+00
150	7.878667e-01	1.065000e+00
160	7.909667e-01	1.055000e+00
170	8.109667e-01	1.180000e+00
180	7.924333e-01	1.160000e+00
190	7.937500e-01	1.080000e+00
200	8.092500e-01	1.085000e+00
210	8.179000e-01	1.180000e+00
220	8.118667e-01	1.130000e+00
230	8.094333e-01	1.125000e+00
240	8.193833e-01	1.090000e+00
250	8.340000e-01	1.215000e+00
260	8.150167e-01	1.130000e+00
270	8.216500e-01	1.100000e+00
280	8.215333e-01	1.145000e+00
290	8.161167e-01	1.105000e+00
300	8.126500e-01	1.085000e+00
310	8.231167e-01	1.070000e+00
320	8.133167e-01	1.110000e+00
330	8.230167e-01	1.095000e+00
340	8.133167e-01	1.120000e+00
350	8.346833e-01	1.155000e+00
360	8.232833e-01	1.060000e+00
370	8.096000e-01	1.115000e+00
380	8.148167e-01	1.085000e+00
390	8.185000e-01	1.095000e+00
400	8.125833e-01	1.140000e+00
410	8.090833e-01	1.195000e+00
420	8.115333e-01	1.085000e+00
430	8.235333e-01	1.150000e+00
440	8.215833e-01	1.150000e+00
450	8.168833e-01	1.110000e+00
460	8.205500e-01	1.140000e+00
470	8.108667e-01	1.090000e+00
